pair,locus,K,theta1,theta2,r_e,cf_slope,cf_intercept,p_gate_joint
P1,838,270,0.282576525347953,0.399085839251295,0.21388,0.9766900861170493,0.011481486062475201,0.8922204452960372
P1,852,379,0.389224767736422,0.390304813122808,0.21388,0.9992787806100616,0.0004287420500218472,0.9965711703760778
P1,856,252,0.193791488222539,0.406176934374052,0.21388,0.9102892561921043,0.03570379968406611,0.6415695728000343
P1,859,155,0.231462447570461,0.39655197945482,0.21388,0.8862703373751424,0.05474812844651584,0.5434620193632668
P1,923,432,0.333368780795967,0.398262821218748,0.21388,0.9989267838819614,0.000573294149189241,0.9950884952683079
P1,951,90,2.69246527027585,1.3662532287836,0.21388,0.9999996735680267,2.3536702288073418e-07,0.999997101310088
P1,987,246,0.225989272558471,0.405520894415462,0.21388,0.9377389378416066,0.02694708404456426,0.7341182150919253
P1,997,140,0.436781761110931,0.418657228967198,0.21388,0.9703435084940076,0.01807185981332725,0.8469297278067877
P1,1003,312,0.201088156036868,0.396640727306049,0.21388,0.939482164780566,0.023970058272688378,0.7484587775359036
P1,1033,171,0.129563632932679,0.42727557844211,0.21388,0.7646409921858427,0.08380189925407638,0.3022636168977176
P1,1067,530,0.166880349525035,0.393278322113702,0.21388,0.9538979480848842,0.01566840117167465,0.8145412330741247
P1,1077,133,0.130157052365528,0.403927758658304,0.21388,0.7280648639549147,0.10635604684657106,0.24062704853668973
P1,1081,209,0.306450806360634,0.400208819098713,0.21388,0.9672277159966923,0.017465751399630768,0.8452107438314532
P1,1087,516,0.197161747965774,0.398608222947363,0.21388,0.9757293545054734,0.008965356674533274,0.898372814760131
P1,1101,249,0.379454134879529,0.395882850750794,0.21388,0.9921200402833374,0.004659306113304026,0.961025116269871
P1,1106,256,0.129885473612309,0.40243885898927,0.21388,0.8156212856260483,0.062122441883363605,0.4048701263536777
P1,1193,341,0.252066020098568,0.394924608619092,0.21388,0.9787564007201207,0.009484138468136796,0.9050864340350687
P1,1208,440,0.129048649225843,0.398158972936459,0.21388,0.8800424260515318,0.036909617510942884,0.5733600524569744
P1,1234,337,0.394602328010402,0.416724950844339,0.21388,0.9989678821758363,0.0006141481151870557,0.994994358589414
P1,1235,418,0.129371809047029,0.397781266134366,0.21388,0.874598930964481,0.03892039025886426,0.5571795205000093
P1,1250,403,0.130203597602905,0.397335174834706,0.21388,0.8718549265153713,0.0401088578893379,0.5487899135852042
P1,1285,124,0.310969864079214,0.385502357323064,0.21388,0.9082287929453259,0.05145693853534486,0.595662956866247
P1,1306,187,0.145133725254444,0.401860671889266,0.21388,0.8031435258955559,0.07433830759042033,0.366784728373595
P1,1338,245,0.271564440350476,0.399397602907544,0.21388,0.965250303379628,0.0169047519251851,0.8412987538342276
P1,1363,322,0.182516347614686,0.39579971627353,0.21388,0.9238877195028727,0.02861881820307236,0.6951522067122438
P1,1427,527,0.233741799403331,0.399688370253392,0.21388,0.991421403643839,0.0034995229988524193,0.9632137144277427
P1,1428,234,0.129319311997559,0.401825859464451,0.21388,0.8029467026059627,0.06766822815279568,0.3773854895793403
P1,1435,196,0.204346688441064,0.40121616872888,0.21388,0.8913675633375752,0.04700562591438342,0.5720346027805733
P1,1453,560,0.175869597515456,0.399096054132394,0.21388,0.9663411785133935,0.011610514426722451,0.8625823220377076
P1,1463,234,0.17015440389036,0.395534607400903,0.21388,0.8715070517208151,0.04974747057020916,0.5262928778251964
P1,1475,335,0.186282646050737,0.374503742358905,0.21388,0.9314345842551188,0.02675527397404043,0.7221153554795545
P1,1482,421,0.128542740456679,0.388370726181793,0.21388,0.8737987260746537,0.03952211373083738,0.5552992361310196
P1,1506,287,0.548875301839437,0.402590342514129,0.21388,0.9985723833281865,0.000740972573590443,0.9929249062994113
P1,1522,473,0.306690010673951,0.406624438812131,0.21388,0.9985658159858046,0.0007035413398924067,0.9935886072393385
P1,1554,470,0.129370729840899,0.397524472879421,0.21388,0.8883686135088735,0.03410918247604344,0.5983580704390876
P1,1612,303,0.12945445020321,0.383590323736833,0.21388,0.8352820770111061,0.0550986795357087,0.4515639411014878
P1,1642,197,0.368195292251271,0.397195277886907,0.21388,0.979404656997686,0.012077294762242235,0.897873883534828
P1,1660,44,1.07902747136039,0.949724926777985,0.21388,0.9917595710806428,0.006890865713610817,0.9346920098499983
