locus,chr,K,p_1,p_2,theta_1,theta_2,slope,intercept,floored,rho_hat,rho_corrected,rho_corrected_unclipped,rho_lower,rho_upper,ci_width,ci_width_corrected
1171,7,445,1.7925e-05,0.0324291,0.3034565912231752,0.0,0.0,0.07674049760431392,True,-0.177835,-1.0,-inf,-1.0,0.42473,1.42473,
1172,7,362,0.00610999,4.12738e-05,0.1352311176683533,0.31897107341468695,0.8612186117528239,0.026157173937590504,False,0.270604,0.2838382992732716,0.2838382992732716,-0.29971,0.92053,1.22024,1.4168760211956706
1174,7,212,0.0475224,0.000547232,0.0,0.32717452528830704,0.0,0.09230940641547665,True,0.0572033,-1.0,-inf,-0.97758,0.91844,1.89602,
1176,7,237,0.0016182,0.000718493,0.2570876969810557,0.2967964759384775,0.9341667083099741,0.018013972950470972,False,0.0839684,0.07060241653103753,0.07060241653103753,-0.58748,0.67251,1.2599900000000002,1.3487849532547371
1179,7,359,0.000937169,1.27479e-11,0.2303413485124336,0.5849025701272844,0.9704160693269434,0.005146045361409098,False,0.285382,0.2887791778148889,0.2887791778148889,-0.09232,0.70611,0.79843,0.82277079413346
1182,7,309,0.00165756,0.0216502,0.22369530392676537,0.0,0.0,0.10440972358779972,True,-0.286613,-1.0,-inf,-1.0,0.39599,1.39599,
1185,7,246,0.000100543,0.00996867,0.36408108281327684,0.11132873948016798,0.764116845196278,0.04128653145801146,False,0.559683,0.6784256515230057,0.6784256515230057,0.03208,1.0,0.96792,1.266717264623804
1186,7,282,0.00580057,4.03855e-10,0.15635294210802428,0.609903380227701,0.8732412717996358,0.018454973526752134,False,0.377738,0.4114361495223567,0.4114361495223567,-0.05593,0.94333,0.99926,1.1443114661090812
1193,7,334,0.000522405,0.000205886,0.26007214544602286,0.28956269868453943,0.9694704270879911,0.0083570748806725,False,-0.133382,-0.14620257711874277,-0.14620257711874277,-0.78892,0.34332,1.13224,1.1678953461230597
1194,7,373,0.00210234,1.04552e-05,0.1933588308740588,0.3442293496206146,0.9446944100677718,0.01166396400261835,False,0.332063,0.33915627379905466,0.33915627379905466,-0.16009,0.89515,1.05524,1.1170173007843855
