"locus","K","theta1","theta2","lambda_min","r_e","rho_true","n_rep","n_gate_pass","n_paramlim_drop","n_reported","gate_rate","mean_rho_hat","se_rho_hat"
712,146,0.0463523935886437,0.357520537427849,6.76744946394197,0.02756,0.4,2000,183,0,183,0.0915,0.214542335169399,0.025429160008876
712,146,0.0463523935886437,0.357520537427849,6.76744946394197,0.02756,0.6,2000,183,0,183,0.0915,0.325405823715847,0.0239826918612357
712,146,0.0463523935886437,0.357520537427849,6.76744946394197,0.02756,0.8,2000,156,1,155,0.078,0.425151776387097,0.0263667423985042
751,246,0.046354473912475,0.16901193259906,11.4032005824689,0.02756,-0.8,2000,141,0,141,0.0705,-0.345034086737589,0.0301362913360743
751,246,0.046354473912475,0.16901193259906,11.4032005824689,0.02756,-0.6,2000,123,1,122,0.0615,-0.238794410983607,0.0343651287283866
751,246,0.046354473912475,0.16901193259906,11.4032005824689,0.02756,-0.4,2000,144,2,142,0.072,-0.185965308704225,0.0301152569404168
751,246,0.046354473912475,0.16901193259906,11.4032005824689,0.02756,-0.2,2000,148,0,148,0.074,-0.0343059012162162,0.0285705497654447
751,246,0.046354473912475,0.16901193259906,11.4032005824689,0.02756,0,2000,116,0,116,0.058,-0.0142237324137931,0.0361400269703699
751,246,0.046354473912475,0.16901193259906,11.4032005824689,0.02756,0.2,2000,142,1,141,0.071,0.16340763412766,0.0311589230162289
751,246,0.046354473912475,0.16901193259906,11.4032005824689,0.02756,0.4,2000,162,0,162,0.081,0.212228484814815,0.0300753237925526
751,246,0.046354473912475,0.16901193259906,11.4032005824689,0.02756,0.6,2000,140,2,138,0.07,0.292490653695652,0.0312629333460624
751,246,0.046354473912475,0.16901193259906,11.4032005824689,0.02756,0.8,2000,145,2,143,0.0725,0.39845721013986,0.027871555614939
781,418,0.0912743752842091,0.129538385288059,38.1526888687994,0.02756,-0.8,2000,384,12,372,0.192,-0.52398352508871,0.0159332013490314
781,418,0.0912743752842091,0.129538385288059,38.1526888687994,0.02756,-0.6,2000,394,8,386,0.197,-0.411092161238342,0.0167096544342599
