"locus","K","theta1","theta2","lambda_min","r_e","rho_true","n_rep","n_gate_pass","n_paramlim_drop","n_reported","gate_rate","mean_rho_hat","se_rho_hat"
456,269,0.170011894175193,0.405108331297005,45.733199533127,0.10897,0.2,2000,1124,0,1124,0.562,0.198023289602046,0.00778506501196344
456,269,0.170011894175193,0.405108331297005,45.733199533127,0.10897,0.4,2000,1182,1,1181,0.591,0.393076637962743,0.00752893320177706
456,269,0.170011894175193,0.405108331297005,45.733199533127,0.10897,0.6,2000,1194,9,1185,0.597,0.55619998556962,0.00708239749484106
456,269,0.170011894175193,0.405108331297005,45.733199533127,0.10897,0.8,2000,1155,33,1122,0.5775,0.72016107013369,0.006391528123875
481,427,0.1707658619567,0.430871977746665,72.9170230555108,0.10897,-0.8,2000,1516,64,1452,0.758,-0.734906903856749,0.00531697246791824
481,427,0.1707658619567,0.430871977746665,72.9170230555108,0.10897,-0.6,2000,1504,11,1493,0.752,-0.567013748861353,0.00574810739854513
481,427,0.1707658619567,0.430871977746665,72.9170230555108,0.10897,-0.4,2000,1516,0,1516,0.758,-0.388154917274406,0.00583490252930091
481,427,0.1707658619567,0.430871977746665,72.9170230555108,0.10897,-0.2,2000,1509,0,1509,0.7545,-0.191369045504771,0.00603176394959248
481,427,0.1707658619567,0.430871977746665,72.9170230555108,0.10897,0,2000,1491,0,1491,0.7455,0.00740805315090543,0.00581457480875889
481,427,0.1707658619567,0.430871977746665,72.9170230555108,0.10897,0.2,2000,1494,0,1494,0.747,0.19687880943909,0.00561833100269946
481,427,0.1707658619567,0.430871977746665,72.9170230555108,0.10897,0.4,2000,1520,0,1520,0.76,0.386399522953947,0.00531751919179302
481,427,0.1707658619567,0.430871977746665,72.9170230555108,0.10897,0.6,2000,1511,3,1508,0.7555,0.57584337831565,0.00526663597781957
