"locus","K","theta1","theta2","lambda_min","r_e","rho_true","n_rep","n_gate_pass","n_paramlim_drop","n_reported","gate_rate","mean_rho_hat","se_rho_hat"
137,317,0.235902958735251,0.398813174710227,74.7812379190746,0.21388,-0.8,2000,1674,125,1549,0.837,-0.74242659012266,0.0052457412166107
137,317,0.235902958735251,0.398813174710227,74.7812379190746,0.21388,-0.6,2000,1713,42,1671,0.8565,-0.582420975643327,0.00580368012369786
137,317,0.235902958735251,0.398813174710227,74.7812379190746,0.21388,-0.4,2000,1696,7,1689,0.848,-0.401338446805802,0.00626940879634366
137,317,0.235902958735251,0.398813174710227,74.7812379190746,0.21388,-0.2,2000,1697,1,1696,0.8485,-0.193158596143278,0.0059394465798504
137,317,0.235902958735251,0.398813174710227,74.7812379190746,0.21388,0,2000,1723,1,1722,0.8615,0.000830628805458769,0.00578829292036936
137,317,0.235902958735251,0.398813174710227,74.7812379190746,0.21388,0.2,2000,1723,0,1723,0.8615,0.206150013524086,0.00541891515333848
137,317,0.235902958735251,0.398813174710227,74.7812379190746,0.21388,0.4,2000,1700,2,1698,0.85,0.407838433233216,0.00527313154148991
137,317,0.235902958735251,0.398813174710227,74.7812379190746,0.21388,0.6,2000,1678,6,1672,0.839,0.597604488277512,0.0049163539228393
137,317,0.235902958735251,0.398813174710227,74.7812379190746,0.21388,0.8,2000,1709,39,1670,0.8545,0.781255220239521,0.00427078676718671
172,263,0.128137217923313,0.48018967434447,33.7000883138313,0.21388,-0.8,2000,793,23,770,0.3965,-0.608260697850649,0.00889326764202675
172,263,0.128137217923313,0.48018967434447,33.7000883138313,0.21388,-0.6,2000,814,8,806,0.407,-0.441554659280397,0.00940104831422438
172,263,0.128137217923313,0.48018967434447,33.7000883138313,0.21388,-0.4,2000,812,0,812,0.406,-0.282552562987685,0.00970382018640342
172,263,0.128137217923313,0.48018967434447,33.7000883138313,0.21388,-0.2,2000,820,0,820,0.41,-0.132051781195122,0.00882879195213459
172,263,0.128137217923313,0.48018967434447,33.7000883138313,0.21388,0,2000,807,0,807,0.4035,0.0528030256654275,0.00940965747225929
172,263,0.128137217923313,0.48018967434447,33.7000883138313,0.21388,0.2,2000,824,0,824,0.412,0.205629990970874,0.00898190698114003
172,263,0.128137217923313,0.48018967434447,33.7000883138313,0.21388,0.4,2000,812,0,812,0.406,0.380006171022167,0.00839250409762917
172,263,0.128137217923313,0.48018967434447,33.7000883138313,0.21388,0.6,2000,810,0,810,0.405,0.544405202740741,0.00818563694111425
172,263,0.128137217923313,0.48018967434447,33.7000883138313,0.21388,0.8,2000,823,3,820,0.4115,0.694757142926829,0.00693638208844309
186,460,0.129502511135946,0.399375701624832,59.5711551225353,0.21388,-0.8,2000,1181,42,1139,0.5905,-0.683043448846419,0.00680982340989415
186,460,0.129502511135946,0.399375701624832,59.5711551225353,0.21388,-0.6,2000,1152,13,1139,0.576,-0.511790820750659,0.00719425068608212
186,460,0.129502511135946,0.399375701624832,59.5711551225353,0.21388,-0.4,2000,1181,3,1178,0.5905,-0.338132720736163,0.00707852119286437
186,460,0.129502511135946,0.399375701624832,59.5711551225353,0.21388,-0.2,2000,1214,0,1214,0.607,-0.148924867696046,0.00692044363369623
186,460,0.129502511135946,0.399375701624832,59.5711551225353,0.21388,0,2000,1191,0,1191,0.5955,0.0292614372753988,0.00643421464062632
186,460,0.129502511135946,0.399375701624832,59.5711551225353,0.21388,0.2,2000,1190,0,1190,0.595,0.211053720795798,0.00657376789688399
186,460,0.129502511135946,0.399375701624832,59.5711551225353,0.21388,0.4,2000,1158,0,1158,0.579,0.384814611476684,0.00597551487215095
186,460,0.129502511135946,0.399375701624832,59.5711551225353,0.21388,0.6,2000,1158,3,1155,0.579,0.579108407272727,0.00599699965694107
186,460,0.129502511135946,0.399375701624832,59.5711551225353,0.21388,0.8,2000,1175,5,1170,0.5875,0.746198937692308,0.00522448984087052
199,294,0.129508445464523,0.401550826986195,38.0754829665697,0.21388,-0.8,2000,894,28,866,0.447,-0.62597918187067,0.00836145029037218
199,294,0.129508445464523,0.401550826986195,38.0754829665697,0.21388,-0.6,2000,904,10,894,0.452,-0.463834650766219,0.00917907413509286
199,294,0.129508445464523,0.401550826986195,38.0754829665697,0.21388,-0.4,2000,891,6,885,0.4455,-0.305124841676158,0.00932332887361653
199,294,0.129508445464523,0.401550826986195,38.0754829665697,0.21388,-0.2,2000,877,1,876,0.4385,-0.14447944655137,0.00937975572566989
199,294,0.129508445464523,0.401550826986195,38.0754829665697,0.21388,0,2000,908,0,908,0.454,0.0666422101773128,0.00877859608514921
199,294,0.129508445464523,0.401550826986195,38.0754829665697,0.21388,0.2,2000,886,0,886,0.443,0.205046738668172,0.00845742980843115
199,294,0.129508445464523,0.401550826986195,38.0754829665697,0.21388,0.4,2000,937,0,937,0.4685,0.384497402132871,0.0078944782441456
199,294,0.129508445464523,0.401550826986195,38.0754829665697,0.21388,0.6,2000,888,0,888,0.444,0.555776152027027,0.00769975094358391
199,294,0.129508445464523,0.401550826986195,38.0754829665697,0.21388,0.8,2000,897,15,882,0.4485,0.710141908730159,0.00703230989572643
228,283,0.293047956406353,0.401185328253254,82.932571662998,0.21388,-0.8,2000,1847,170,1677,0.9235,-0.754038273106738,0.00506319400024685
228,283,0.293047956406353,0.401185328253254,82.932571662998,0.21388,-0.6,2000,1831,34,1797,0.9155,-0.587558483416806,0.00559139460632952
228,283,0.293047956406353,0.401185328253254,82.932571662998,0.21388,-0.4,2000,1834,5,1829,0.917,-0.419121052376162,0.00576372744212895
228,283,0.293047956406353,0.401185328253254,82.932571662998,0.21388,-0.2,2000,1845,2,1843,0.9225,-0.214632105398264,0.00588914399875443
228,283,0.293047956406353,0.401185328253254,82.932571662998,0.21388,0,2000,1863,0,1863,0.9315,-0.0112462568336017,0.00551378640220942
228,283,0.293047956406353,0.401185328253254,82.932571662998,0.21388,0.2,2000,1814,0,1814,0.907,0.197807724041345,0.00533369081005159
228,283,0.293047956406353,0.401185328253254,82.932571662998,0.21388,0.4,2000,1848,0,1848,0.924,0.398833341813312,0.00497250570608534
228,283,0.293047956406353,0.401185328253254,82.932571662998,0.21388,0.6,2000,1832,4,1828,0.916,0.602695236859956,0.0047081346768319
228,283,0.293047956406353,0.401185328253254,82.932571662998,0.21388,0.8,2000,1842,46,1796,0.921,0.792156688195991,0.00387112043924863
275,451,0.208211450782676,0.401874118307425,93.9033643029867,0.21388,-0.8,2000,1773,117,1656,0.8865,-0.753225813405797,0.00473042996184507
275,451,0.208211450782676,0.401874118307425,93.9033643029867,0.21388,-0.6,2000,1770,33,1737,0.885,-0.597195202072539,0.00529098791383328
275,451,0.208211450782676,0.401874118307425,93.9033643029867,0.21388,-0.4,2000,1776,4,1772,0.888,-0.402816771185102,0.00546887875957849
275,451,0.208211450782676,0.401874118307425,93.9033643029867,0.21388,-0.2,2000,1775,0,1775,0.8875,-0.193848160973127,0.00526725679410467
275,451,0.208211450782676,0.401874118307425,93.9033643029867,0.21388,0,2000,1775,0,1775,0.8875,-0.00535378993464789,0.00503180717430109
275,451,0.208211450782676,0.401874118307425,93.9033643029867,0.21388,0.2,2000,1775,0,1775,0.8875,0.203513707451718,0.00476320930376972
275,451,0.208211450782676,0.401874118307425,93.9033643029867,0.21388,0.4,2000,1762,0,1762,0.881,0.402049699392736,0.00452706496888368
275,451,0.208211450782676,0.401874118307425,93.9033643029867,0.21388,0.6,2000,1792,3,1789,0.896,0.61126274628284,0.00430618220263692
275,451,0.208211450782676,0.401874118307425,93.9033643029867,0.21388,0.8,2000,1791,32,1759,0.8955,0.779691923251848,0.00383828609412268
336,266,0.483380322228383,0.397101825917662,105.629085694098,0.21388,-0.8,2000,1973,133,1840,0.9865,-0.782637383152174,0.00412829521829251
336,266,0.483380322228383,0.397101825917662,105.629085694098,0.21388,-0.6,2000,1982,33,1949,0.991,-0.62616724889687,0.00491228504936393
336,266,0.483380322228383,0.397101825917662,105.629085694098,0.21388,-0.4,2000,1969,5,1964,0.9845,-0.418825565009674,0.00496443740097531
336,266,0.483380322228383,0.397101825917662,105.629085694098,0.21388,-0.2,2000,1963,0,1963,0.9815,-0.214199575425675,0.00485252836519535
336,266,0.483380322228383,0.397101825917662,105.629085694098,0.21388,0,2000,1961,0,1961,0.9805,-0.0162032389390107,0.00460489454184322
336,266,0.483380322228383,0.397101825917662,105.629085694098,0.21388,0.2,2000,1976,0,1976,0.988,0.197826766894231,0.00453249301423727
